policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,overthreshold_shard_epoch,suite
periodic_global_reshuffle,120008,0.6666666666666666,8.333333333333334,0.0319573045267489,0.2227366255144033,0.0136746480500968,0.9166666666666666,49.5,0.7881159583303562,0.0925925925925925,heldout
periodic_global_reshuffle,120009,1.0,8.333333333333334,0.0221836419753086,0.2168852880658436,0.0166547493961699,1.0,49.5,0.8042503750000188,0.1296296296296296,heldout
periodic_global_reshuffle,120010,1.0,9.166666666666666,0.0405735596707818,0.2221579218106996,0.0135029064380374,1.0,49.5,0.7907584999955475,0.1851851851851851,heldout
periodic_global_reshuffle,120011,0.8333333333333334,8.5,0.0261702674897119,0.217335390946502,0.017919495485632,1.0,49.5,0.7905192499997327,0.1296296296296296,heldout
periodic_global_reshuffle,120012,0.5,7.833333333333333,0.0212191358024691,0.2196502057613168,0.0151503749819651,0.9166666666666666,49.5,0.7842242499987625,0.074074074074074,heldout
periodic_global_reshuffle,120013,0.8333333333333334,8.333333333333334,0.0246270576131687,0.2193287037037037,0.0214930787439704,0.875,49.5,0.8110943749978597,0.1111111111111111,heldout
periodic_global_reshuffle,120014,0.8333333333333334,8.166666666666666,0.0230195473251028,0.2229938271604938,0.0274721680965711,0.9583333333333334,49.5,0.7862257916653922,0.1111111111111111,heldout
periodic_global_reshuffle,120015,0.5,8.333333333333334,0.0330504115226337,0.2177854938271605,0.0155800999104257,0.875,49.5,0.7801230833332321,0.0925925925925925,heldout
periodic_global_reshuffle,120016,0.8333333333333334,8.5,0.0332433127572016,0.2225437242798353,0.0136395842203043,1.0,49.5,0.8921392916671304,0.1481481481481481,heldout
periodic_global_reshuffle,120017,0.6666666666666666,8.5,0.0333076131687242,0.2100051440329218,0.0107748157136341,0.8333333333333334,49.5,0.9268062500022248,0.074074074074074,heldout
periodic_global_reshuffle,120018,1.0,8.666666666666666,0.0287422839506172,0.2217721193415638,0.0232532300662377,0.9583333333333334,49.5,0.8952796250033165,0.1481481481481481,heldout
periodic_global_reshuffle,120019,0.6666666666666666,8.0,0.0230195473251028,0.2201003086419753,0.0182078424671998,0.9166666666666666,49.5,0.9508449999972394,0.1111111111111111,heldout
periodic_global_reshuffle,120020,0.8333333333333334,8.5,0.0293209876543209,0.2189429012345679,0.0311706862425354,0.9583333333333334,49.5,0.7845146250010279,0.1296296296296296,heldout
periodic_global_reshuffle,120021,0.8333333333333334,8.666666666666666,0.0397376543209876,0.2161779835390946,0.0153737019900855,1.0,49.5,0.7862422916626125,0.1296296296296296,heldout
periodic_global_reshuffle,120022,0.8333333333333334,8.166666666666666,0.022633744855967,0.2168209876543209,0.0126688619965342,0.9583333333333334,49.5,0.7867453750011558,0.1111111111111111,heldout
periodic_global_reshuffle,120023,0.8333333333333334,8.166666666666666,0.0270061728395061,0.2202932098765432,0.0342036364636914,1.0,49.5,0.7865831666672799,0.1666666666666666,heldout
random_local_exchange,120000,1.0,8.708333333333334,0.0297710905349794,0.2232510288065843,0.01541425893125,0.9166666666666666,4.416666666666667,0.8149597083324522,0.1111111111111111,heldout
random_local_exchange,120001,0.5,7.5,0.0165895061728395,0.218557098765432,0.0135508111507787,0.7916666666666666,4.083333333333333,0.8250322083345196,0.0555555555555555,heldout
random_local_exchange,120002,0.875,8.125,0.0225694444444444,0.2207433127572016,0.0225106679706841,0.9166666666666666,4.166666666666667,0.8094280416663935,0.1018518518518518,heldout
random_local_exchange,120003,0.5,8.083333333333334,0.0262345679012345,0.2219650205761316,0.0129293020733068,0.875,3.6666666666666665,0.799153458332332,0.0555555555555555,heldout
random_local_exchange,120004,0.1666666666666666,7.166666666666667,0.0152391975308641,0.2170781893004115,0.03699741397165,0.75,3.5,0.8461449583343494,0.0185185185185185,heldout
random_local_exchange,120005,0.6666666666666666,7.666666666666667,0.0198045267489711,0.2202289094650205,0.0131924280032243,0.8333333333333334,4.0,0.8515256666665749,0.1342592592592592,heldout
random_local_exchange,120006,0.4583333333333333,7.458333333333333,0.0178755144032921,0.211548353909465,0.0325123024341531,0.875,4.0,0.8713841250003185,0.0601851851851851,heldout
random_local_exchange,120007,1.0,8.375,0.0242412551440329,0.2188143004115226,0.0218035887653532,1.0,3.583333333333333,0.8718331249989811,0.1388888888888889,heldout
random_local_exchange,120008,1.0,9.5,0.0464891975308641,0.227880658436214,0.024198128986989,1.0,4.0,0.7944594166637842,0.162037037037037,heldout
random_local_exchange,120009,0.7083333333333334,7.708333333333333,0.0154963991769547,0.2176568930041152,0.0271816210699471,0.9166666666666666,4.333333333333333,0.7927364166645153,0.1064814814814814,heldout
random_local_exchange,120010,1.0,8.458333333333334,0.0258487654320987,0.2163065843621399,0.0313875245342805,0.9166666666666666,4.416666666666667,0.8001691250036913,0.1898148148148148,heldout
random_local_exchange,120011,0.7083333333333334,8.083333333333334,0.0254629629629629,0.2193930041152263,0.0248255341774029,0.875,3.8333333333333335,0.7905437916650252,0.1527777777777778,heldout
random_local_exchange,120012,1.0,9.75,0.0518261316872427,0.2150848765432098,0.0259982561805006,1.0,4.25,0.7910543333338182,0.1481481481481481,heldout
random_local_exchange,120013,0.875,7.875,0.0198045267489711,0.2235725308641975,0.0303234159512672,0.9583333333333334,4.25,0.7825605833341834,0.1388888888888889,heldout
random_local_exchange,120014,0.5416666666666666,7.625,0.017554012345679,0.2272376543209876,0.0108030467324912,0.8333333333333334,3.6666666666666665,0.7851086666666637,0.0601851851851851,heldout
random_local_exchange,120015,1.0,10.791666666666666,0.0724665637860082,0.205054012345679,0.000315016620365,1.0,4.25,0.8046538749996538,0.1111111111111111,heldout
random_local_exchange,120016,0.8333333333333334,7.833333333333333,0.0181327160493827,0.2204218106995884,0.0120000279629338,0.9166666666666666,3.5,0.8989581666618562,0.0925925925925925,heldout
random_local_exchange,120017,1.0,9.5,0.0479038065843621,0.2037680041152263,0.0164721943092341,0.9583333333333334,3.5,0.8647046666669193,0.1388888888888889,heldout
