policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,malicious_fraction
risk_aware_exchange,70206,0.0416666666666666,6.208333333333333,0.0087448559670781,0.1878215020576131,0.0015181081943301,0.625,3.083333333333333,62.535227000002656,0.2
risk_aware_exchange,70207,0.0,6.0,0.0093235596707818,0.186792695473251,0.0010363565307842,0.7916666666666666,3.1666666666666665,63.655331833340746,0.2
no_reconfig,70244,1.0,10.0,0.0605709876543209,0.2153420781893004,0.0321485410175699,1.0,0.0,1.0266514583463504,0.24
no_reconfig,70245,0.0,7.0,0.0128600823045267,0.223315329218107,0.0168265412936716,0.875,0.0,1.0177134999859545,0.24
no_reconfig,70246,1.0,8.0,0.0154963991769547,0.2229295267489711,0.0214462494280999,1.0,0.0,1.0727685000138838,0.24
no_reconfig,70247,0.0,7.0,0.0143389917695473,0.2130915637860082,0.0105252134403334,0.8333333333333334,0.0,1.0381573333120286,0.24
risk_aware_exchange,70244,0.4166666666666667,7.625,0.0217978395061728,0.2222865226337448,0.0170145547412139,0.8333333333333334,11.083333333333334,65.86506108333386,0.24
risk_aware_exchange,70245,0.0416666666666666,6.416666666666667,0.0120884773662551,0.2233796296296296,0.0055820219385118,0.7083333333333334,3.0,62.04736483327148,0.24
risk_aware_exchange,70246,0.125,6.541666666666667,0.0118955761316872,0.2207433127572016,0.0047950029531134,0.7083333333333334,4.0,62.98346295832857,0.24
risk_aware_exchange,70247,0.0,6.5,0.0143389917695473,0.2141203703703703,0.0112954417922772,0.75,4.333333333333333,60.880103374993645,0.24
no_reconfig,70284,1.0,8.0,0.0319573045267489,0.2563014403292181,0.0583953075001399,1.0,0.0,0.9295448749924162,0.28
no_reconfig,70285,1.0,11.0,0.0806327160493827,0.2202932098765432,0.0150394698410488,1.0,0.0,0.9369921666480726,0.28
no_reconfig,70286,1.0,8.0,0.027199074074074,0.257716049382716,0.0414915532131,1.0,0.0,0.8791862083323091,0.28
no_reconfig,70287,1.0,11.0,0.0973508230452674,0.2240869341563786,0.0027533039246123,1.0,0.0,0.9479507499937276,0.28
risk_aware_exchange,70284,0.625,8.041666666666666,0.027906378600823,0.2516075102880658,0.0272420996920671,0.875,9.5,57.303540791622254,0.28
risk_aware_exchange,70285,0.25,7.458333333333333,0.0229552469135802,0.239454732510288,0.0275220693189828,0.875,7.5,57.97014416665055,0.28
risk_aware_exchange,70286,0.5,7.791666666666667,0.0270061728395061,0.2451131687242798,0.0365303310159923,0.8333333333333334,9.25,56.8321180416452,0.28
risk_aware_exchange,70287,0.5,8.125,0.0320216049382716,0.2414480452674897,0.0286696256013202,0.875,9.166666666666666,55.75247749999335,0.28
no_reconfig,70324,1.0,9.0,0.0506687242798353,0.2841435185185185,0.0486383128735546,1.0,0.0,0.8957981250053612,0.32
