policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,batches_per_epoch
risk_aware_exchange,220008,0.4166666666666667,7.416666666666667,0.0049511316872427,0.1648662551440329,0.0451587728410298,0.6666666666666666,4.583333333333333,48.92212120838243,72
risk_aware_exchange,220009,0.25,6.916666666666667,0.0056584362139917,0.165380658436214,0.0350239127106821,0.7083333333333334,4.666666666666667,52.96463741660773,72
risk_aware_exchange,220010,0.8333333333333334,8.166666666666666,0.0068801440329218,0.1641589506172839,0.0674304119733435,0.7083333333333334,5.166666666666667,55.61048308326614,72
risk_aware_exchange,220011,0.125,6.5,0.0041795267489711,0.1657021604938271,0.023093841303116,0.7916666666666666,4.833333333333333,56.34201412491772,72
no_reconfig,220008,1.0,8.0,0.0071159122085048,0.165380658436214,0.1000046565584043,0.9583333333333334,0.0,1.0042855416259044,216
no_reconfig,220009,1.0,8.0,0.0066015089163237,0.165144890260631,0.0272253006950445,0.9166666666666666,0.0,1.042355541737076,216
no_reconfig,220010,1.0,9.0,0.0083161865569272,0.1688100137174211,0.0110513449558684,1.0,0.0,1.0885055832356254,216
no_reconfig,220011,1.0,9.0,0.007480281207133,0.1677169067215363,0.0092622277099047,1.0,0.0,1.0579776665432898,216
risk_aware_exchange,220008,0.5,7.333333333333333,0.0054655349794238,0.16349451303155,0.0349430537982427,0.7916666666666666,4.166666666666667,53.80721691665258,216
risk_aware_exchange,220009,0.125,6.458333333333333,0.0056584362139917,0.1642875514403292,0.006797168850018,0.8333333333333334,1.8333333333333333,51.15518275014589,216
risk_aware_exchange,220010,0.25,7.291666666666667,0.0061085390946502,0.166130829903978,0.0205977059262533,0.9166666666666666,4.25,50.46026700002434,216
risk_aware_exchange,220011,0.2083333333333333,6.583333333333333,0.0049725651577503,0.1664523319615912,0.0210423480757625,0.875,2.333333333333333,50.37929233340795,216
